"riding_id","election_id","order","cre_id","party_name","candidate_name","re_id","votes","votes_percent","delta_percent","expenditures","elected"
"Abbotsford","F2015",0,"F2015:Abbotsford:Ed Fast:Conservative","Conservative","Ed Fast","F2015:Abbotsford",23229,48.27,NA,"76055.1",TRUE
"Abbotsford","F2015",2,"F2015:Abbotsford:Jen Martel:New Democratic","New Democratic","Jen Martel","F2015:Abbotsford",6593,13.7,NA,"11592.31",FALSE
"Abbotsford","F2015",1,"F2015:Abbotsford:Peter Njenga:Liberal","Liberal","Peter Njenga","F2015:Abbotsford",15777,32.78,NA,"14078.53",FALSE
"Abbotsford","F2015",3,"F2015:Abbotsford:Stephen Fowler:Green","Green","Stephen Fowler","F2015:Abbotsford",2416,5.02,NA,"2578.52",FALSE
"Abitibi-Baie-James-Nunavik-Eeyou","F2015",2,"F2015:Abitibi-Baie-James-Nunavik-Eeyou:Luc Ferland:Bloc Québécois","Bloc Québécois","Luc Ferland","F2015:Abitibi-Baie-James-Nunavik-Eeyou",6398,18.54,NA,"31842.28",FALSE
"Abitibi-Baie-James-Nunavik-Eeyou","F2015",4,"F2015:Abitibi-Baie-James-Nunavik-Eeyou:Patrick Benoît:Green","Green","Patrick Benoît","F2015:Abitibi-Baie-James-Nunavik-Eeyou",779,2.26,NA,"2173.92",FALSE
"Abitibi-Baie-James-Nunavik-Eeyou","F2015",1,"F2015:Abitibi-Baie-James-Nunavik-Eeyou:Pierre Dufour:Liberal","Liberal","Pierre Dufour","F2015:Abitibi-Baie-James-Nunavik-Eeyou",11094,32.14,NA,"29180.64",FALSE
"Abitibi-Baie-James-Nunavik-Eeyou","F2015",0,"F2015:Abitibi-Baie-James-Nunavik-Eeyou:Roméo Saganash:New Democratic","New Democratic","Roméo Saganash","F2015:Abitibi-Baie-James-Nunavik-Eeyou",12778,37.02,NA,"33061.53",TRUE
"Abitibi-Baie-James-Nunavik-Eeyou","F2015",3,"F2015:Abitibi-Baie-James-Nunavik-Eeyou:Steven Hébert:Conservative","Conservative","Steven Hébert","F2015:Abitibi-Baie-James-Nunavik-Eeyou",3211,9.3,NA,"11040.28",FALSE
"Abitibi-Témiscamingue","F2015",4,"F2015:Abitibi-Témiscamingue:Aline Bégin:Green","Green","Aline Bégin","F2015:Abitibi-Témiscamingue",859,1.73,NA,"6188.67",FALSE
"Abitibi-Témiscamingue","F2015",3,"F2015:Abitibi-Témiscamingue:Benoit Fortin:Conservative","Conservative","Benoit Fortin","F2015:Abitibi-Témiscamingue",3425,6.89,NA,"1743.82",FALSE
"Abitibi-Témiscamingue","F2015",0,"F2015:Abitibi-Témiscamingue:Christine Moore:New Democratic","New Democratic","Christine Moore","F2015:Abitibi-Témiscamingue",20636,41.5,NA,"20806.53",TRUE
"Abitibi-Témiscamingue","F2015",1,"F2015:Abitibi-Témiscamingue:Claude Thibault:Liberal","Liberal","Claude Thibault","F2015:Abitibi-Témiscamingue",14733,29.63,NA,"42117.75",FALSE
"Abitibi-Témiscamingue","F2015",2,"F2015:Abitibi-Témiscamingue:Yvon Moreau:Bloc Québécois","Bloc Québécois","Yvon Moreau","F2015:Abitibi-Témiscamingue",9651,19.41,NA,"31557.76",FALSE
"Acadie-Bathurst","F2015",3,"F2015:Acadie-Bathurst:Dominique Breau:Green","Green","Dominique Breau","F2015:Acadie-Bathurst",1187,2.33,NA,NA,FALSE
"Acadie-Bathurst","F2015",1,"F2015:Acadie-Bathurst:Jason Godin:New Democratic","New Democratic","Jason Godin","F2015:Acadie-Bathurst",20079,39.4,NA,"116542.41",FALSE
"Acadie-Bathurst","F2015",2,"F2015:Acadie-Bathurst:Riba Girouard-Riordon:Conservative","Conservative","Riba Girouard-Riordon","F2015:Acadie-Bathurst",3852,7.56,NA,NA,FALSE
"Acadie-Bathurst","F2015",0,"F2015:Acadie-Bathurst:Serge Cormier:Liberal","Liberal","Serge Cormier","F2015:Acadie-Bathurst",25845,50.71,NA,"55485.34",TRUE
"Ahuntsic-Cartierville","F2015",4,"F2015:Ahuntsic-Cartierville:Gilles Mercier:Green","Green","Gilles Mercier","F2015:Ahuntsic-Cartierville",1175,2.1,NA,NA,FALSE
"Ahuntsic-Cartierville","F2015",1,"F2015:Ahuntsic-Cartierville:Maria Mourani:New Democratic","New Democratic","Maria Mourani","F2015:Ahuntsic-Cartierville",16684,30,NA,"86722.49",FALSE
"Ahuntsic-Cartierville","F2015",0,"F2015:Ahuntsic-Cartierville:Mélanie Joly:Liberal","Liberal","Mélanie Joly","F2015:Ahuntsic-Cartierville",26026,46.8,NA,"149387.67",TRUE
"Ahuntsic-Cartierville","F2015",2,"F2015:Ahuntsic-Cartierville:Nicolas Bourdon:Bloc Québécois","Bloc Québécois","Nicolas Bourdon","F2015:Ahuntsic-Cartierville",7346,13.2,NA,"27931.96",FALSE
"Ahuntsic-Cartierville","F2015",3,"F2015:Ahuntsic-Cartierville:Wiliam Moughrabi:Conservative","Conservative","Wiliam Moughrabi","F2015:Ahuntsic-Cartierville",4051,7.3,NA,"12346.58",FALSE
"Ajax","F2015",1,"F2015:Ajax:Chris Alexander:Conservative","Conservative","Chris Alexander","F2015:Ajax",19374,34.41,NA,"154560.57",FALSE
"Ajax","F2015",3,"F2015:Ajax:Jeff Hill:Green","Green","Jeff Hill","F2015:Ajax",788,1.4,NA,"717.0",FALSE
"Ajax","F2015",0,"F2015:Ajax:Mark Holland:Liberal","Liberal","Mark Holland","F2015:Ajax",31458,55.87,NA,"98658.57",TRUE
"Ajax","F2015",2,"F2015:Ajax:Stephanie Brown:New Democratic","New Democratic","Stephanie Brown","F2015:Ajax",4630,8.22,NA,"3065.75",FALSE
"Alfred-Pellan","F2015",0,"F2015:Alfred-Pellan:Angelo Iacono:Liberal","Liberal","Angelo Iacono","F2015:Alfred-Pellan",24557,44.51,NA,"112927.21",TRUE
"Alfred-Pellan","F2015",2,"F2015:Alfred-Pellan:Daniel St-Hilaire:Bloc Québécois","Bloc Québécois","Daniel St-Hilaire","F2015:Alfred-Pellan",9836,17.83,NA,"39062.31",FALSE
"Alfred-Pellan","F2015",3,"F2015:Alfred-Pellan:Gabriel Purcarus:Conservative","Conservative","Gabriel Purcarus","F2015:Alfred-Pellan",6259,11.35,NA,"8181.47",FALSE
"Alfred-Pellan","F2015",4,"F2015:Alfred-Pellan:Lynda Briguene:Green","Green","Lynda Briguene","F2015:Alfred-Pellan",1089,1.97,NA,"4610.57",FALSE
"Alfred-Pellan","F2015",1,"F2015:Alfred-Pellan:Rosane Doré Lefebvre:New Democratic","New Democratic","Rosane Doré Lefebvre","F2015:Alfred-Pellan",13225,23.97,NA,"58909.82",FALSE
"Algoma-Manitoulin-Kapuskasing","F2015",2,"F2015:Algoma-Manitoulin-Kapuskasing:André Robichaud:Conservative","Conservative","André Robichaud","F2015:Algoma-Manitoulin-Kapuskasing",9820,23.73,NA,"54344.43",FALSE
