"riding_id","party_name","slope","intercept"
"Abbotsford","Conservative",1,16.36
"Abbotsford","New Democratic",1,-6.03
"Abbotsford","Liberal",1,-6.69
"Abbotsford","Green",1,1.59
"Abitibi-Baie-James-Nunavik-Eeyou","Bloc Québécois",1,13.87
"Abitibi-Baie-James-Nunavik-Eeyou","Green",1,-1.17
"Abitibi-Baie-James-Nunavik-Eeyou","Liberal",1,-7.33
"Abitibi-Baie-James-Nunavik-Eeyou","New Democratic",1,17.29
"Abitibi-Baie-James-Nunavik-Eeyou","Conservative",1,-22.61
"Abitibi-Témiscamingue","Green",1,-1.7
"Abitibi-Témiscamingue","Conservative",1,-25.02
"Abitibi-Témiscamingue","New Democratic",1,21.77
"Abitibi-Témiscamingue","Liberal",1,-9.84
"Abitibi-Témiscamingue","Bloc Québécois",1,14.74
"Acadie-Bathurst","Green",1,-1.1
"Acadie-Bathurst","New Democratic",1,19.67
"Acadie-Bathurst","Conservative",1,-24.35
"Acadie-Bathurst","Liberal",1,11.24
"Ahuntsic-Cartierville","Green",1,-1.33
"Ahuntsic-Cartierville","New Democratic",1,10.27
"Ahuntsic-Cartierville","Liberal",1,7.33
"Ahuntsic-Cartierville","Bloc Québécois",1,8.53
"Ahuntsic-Cartierville","Conservative",1,-24.61
"Ajax","Conservative",1,2.5
"Ajax","Green",1,-2.03
"Ajax","Liberal",1,16.4
"Ajax","New Democratic",1,-11.51
"Alfred-Pellan","Liberal",1,5.04
"Alfred-Pellan","Bloc Québécois",1,13.16
"Alfred-Pellan","Conservative",1,-20.56
"Alfred-Pellan","Green",1,-1.46
"Alfred-Pellan","New Democratic",1,4.24
"Algoma-Manitoulin-Kapuskasing","Conservative",1,-8.18
"Algoma-Manitoulin-Kapuskasing","Green",1,-1.19
"Algoma-Manitoulin-Kapuskasing","New Democratic",1,20.19
"Algoma-Manitoulin-Kapuskasing","Liberal",1,-5.36
"Argenteuil-La Petite-Nation","Green",1,-1.24
